BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000749	BGC0000749	Escherichia coli strain B44 K30 capsule biosynthesis gene cluster, partial sequence		Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000751	BGC0000751	Actinobacillus pleuropneumoniae serotype 12 capsular polysaccharide biosynthesis gene cluster, partial sequence; and unknown gene		Others	Actinobacillus pleuropneumoniae	Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
BGC0000752	BGC0000752	Actinobacillus pleuropneumoniae strain Femo serotype 6 capsular polysaccharide biosynthesis gene cluster, partial sequence		Others	Actinobacillus pleuropneumoniae serovar 6 str. Femo	Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
BGC0000753	BGC0000753	Actinobacillus pleuropneumoniae isolate 72-14676 serotype 7 capsular polysaccharide biosynthesis gene cluster, partial sequence		Others	Actinobacillus pleuropneumoniae	Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
BGC0000754	BGC0000754	Avibacterium paragallinarum strain TW95 capsule biosynthesis region 2 gene cluster, complete sequence		Others	Avibacterium paragallinarum	Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium
BGC0000755	BGC0000755	Avibacterium paragallinarum strain 221 capsule biosynthesis region 2 gene cluster, complete sequence		Others	Avibacterium paragallinarum 221	Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium
BGC0000756	BGC0000756	Avibacterium paragallinarum strain H18 capsule biosynthesis region 2 gene cluster, complete sequence		Others	Avibacterium paragallinarum	Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium
BGC0000757	BGC0000757	Avibacterium paragallinarum strain TW07 capsule biosynthesis region 2 gene cluster, complete sequence		Others	Avibacterium paragallinarum	Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium
BGC0000758	BGC0000758	Staphylococcus aureus M type 1 capsular polysaccharide biosynthesis gene cluster, complete sequence and unknown genes		Others	Staphylococcus aureus	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000759	BGC0000759	Sphingomonas sp. ATCC 53159 diutan polysaccharide synthesis gene cluster, partial sequence		Others	Sphingomonas sp. ATCC 53159	Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
BGC0000760	BGC0000760	Acinetobacter lwoffii wzc, wzb, wza, weeA, weeB, wceC, wzx, wzy, weeD, weeE, weeF, weeG, weeH, weeI, weeJ, weeK, galU, ugd, pgi, galE, pgm (partial) and mip (partial) genes (emulsan biosynthetic gene cluster), strain RAG-1		Others	Acinetobacter venetianus RAG-1 = CIP 110063	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
BGC0000761	BGC0000761	Methylobacillus sp. 12S exopolysaccharide biosynthesis gene cluster, complete cds		Others	Methylobacillus sp. 12S	Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,unclassified Methylobacillus
BGC0000762	BGC0000762	Rhizobium leguminosarum bv. viciae VF39 acidic exopolysaccharide biosynthesis gene cluster, complete sequence		Others	Rhizobium leguminosarum bv. viciae	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium
BGC0000763	BGC0000763	Pantoea stewartii subsp. stewartii strain DC283 exopolysaccharaide biosynthesis gene cluster, complete sequence; GalF gene, complete cds; and GalE gene, partial cds		Others	Pantoea stewartii subsp. stewartii DC283	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
BGC0000764	BGC0000764	Lactococcus lactis exopolysaccharide biosynthesis gene cluster, complete sequence; and unknown genes		Others	Lactococcus lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000765	BGC0000765	Lactobacillus johnsonii strain ATCC 33200 exopolysaccharide biosynthesis gene cluster, complete sequence		Others	Lactobacillus johnsonii	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000766	BGC0000766	Lactobacillus johnsonii strain ATCC 11506 exopolysaccharide biosynthesis gene cluster, complete sequence		Others	Lactobacillus johnsonii	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000767	BGC0000767	Lactobacillus johnsonii strain NCC 2767 exopolysaccharide biosynthesis gene cluster, complete sequence		Others	Lactobacillus johnsonii	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000768	BGC0000768	Sphingomonas elodea strain ATCC 31461 gellan polysaccharide biosynthesis gene cluster, complete sequence		Others	Sphingomonas elodea ATCC 31461	Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
BGC0000769	BGC0000769	Mycobacterium avium strain A5 glycopeptidolipid biosynthesis gene cluster, partial sequence		Others	Mycobacterium avium subsp. hominissuis A5	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium complex (MAC)
BGC0000770	BGC0000770	Campylobacter jejuni HB93-13 wlaII LOS biosynthesis gene cluster, partial sequence		Others	Campylobacter jejuni	Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
BGC0000772	BGC0000772	Brucella melitensis strain 16M lipopolysaccharide O side chain biosynthesis gene cluster, complete sequence		Others	Brucella melitensis	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,Brucella
BGC0000773	BGC0000773	Escherichia coli O7-specific lipopolysaccharide biosynthesis gene cluster, complete sequence		Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000774	BGC0000774	Xanthomonas campestris pv. campestris LPS biosynthetic cluster, partial sequence; and putative electron-transferring flavoprotein beta subunit (etfS) and putative electron-transferring flavoprotein alpha subunit (etfL) genes, complete cds		Others	Xanthomonas campestris pv. campestris	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
BGC0000775	BGC0000775	Legionella pneumophila serogroup 1 lipopolysaccharide biosynthesis gene cluster		Others	Legionella pneumophila	Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BGC0000776	BGC0000776	Escherichia coli waa gene cluster encoding the LPS R1 core biosynthesis region		Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000777	BGC0000777	Escherichia coli wbb gene cluster encoding O6 LPS side chain biosynthesis region		Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000778	BGC0000778	Aeromonas hydrophila strain AH-3 HldD (hldD), WahA (wahA), WaaL (waaL), WahB (wahB), WahC (wahC), WahD (wahD), and WahE (wahE) genes, complete cds		Others	Aeromonas piscicola	Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
BGC0000779	BGC0000779	Aeromonas hydrophila strain AH-3 WaaA (waaA), WahF (wahF), WaaE (waaE), WaaF (waaF), and CoaD (coaD) genes, complete cds		Others	Aeromonas piscicola	Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
BGC0000780	BGC0000780	Vibrio parahaemolyticus DNA, O and K-antigen biosynthesis gene cluster, strain: NIID 242-200		Others	Vibrio parahaemolyticus	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
BGC0000781	BGC0000781	Pseudomonas aeruginosa strain IATS O6 RpsA (rpsA) gene, partial cds; Ihf-Beta, Wzz (wzz), and Wzx (wzx) genes, complete cds; and wbp gene cluster for O-antigen biosynthesis, complete sequence		Others	Pseudomonas aeruginosa	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000782	BGC0000782	Burkholderia pseudomallei putative dihydroorotase (pyrC) gene, partial cds; putative 1-acyl-sn-glycerol-3-phosphate acyltransferase (plsC), putative diadenosine tetraphosphatase (apaH), complete cds; type II O-antigen biosynthesis gene cluster, complete sequence; putative undecaprenyl phosphate N-acetylglucosaminyltransferase, and putative UDP-glucose 4-epimerase genes, complete cds; and putative galactosyl transferase gene, partial cds		Others	Burkholderia pseudomallei 1026b	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei group
BGC0000783	BGC0000783	Xanthomonas oryzae pv. oryzae putative cystathionine gamma-lyase (metB) gene, partial cds; putative sugar nucleotide epimerase/dehydratase (wxoA), putative glycosyl transferase (wxoB), putative glycosyl transferase (wxoC), putative o-antigen acetylase (wxoD), putative ISXo8 transposase, putative IS1113 transposase (tnpX1), truncated putative transposase, putative ATP binding protein (wzt), and putative ABC transporter system integral membrane protein (wzm) genes, complete cds; and putative electron transferring flavoprotein alpha subunit (etfA) gene, partial cds		Others	Xanthomonas oryzae pv. oryzae	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
BGC0000784	BGC0000784	Pseudomonas aeruginosa serotype 01 putative O-antigen biosynthesis gene cluster, partial sequence		Others	Pseudomonas aeruginosa	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000785	BGC0000785	Burkholderia mallei putative diadenosine tetraphosphatase (apaH), complete cds; O-antigen biosynthetic gene cluster, complete sequence; insertion sequence IS407, partial sequence		Others	Burkholderia mallei	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei group
BGC0000786	BGC0000786	Edwardsiella ictaluri isolate 93-146 O antigen biosynthesis gene cluster, partial sequence; and IS1-like insertion sequence, complete sequence		Others	Edwardsiella ictaluri 93-146	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
BGC0000787	BGC0000787	Escherichia coli serotype O127:K63(B8) O-antigen biosynthesis gene cluster, complete sequence		Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000788	BGC0000788	Salmonella enterica subsp. salamae serovar Greenside UDP-GlcNAc 4-epimerase (gne), UDP-glucose pyrophosporylase (galF), complete cds; O-antigen gene cluster, complete sequence; 6-phosphogluconate dehydrogenase (gnd), putative GDP-colitose biosynthetic protein (col1), putative GDP-colitose biosynthetic protein (col2), UDP-glucose-6-dehydrogenase (ugd), O-antigen chain length determinant (wzz), and phosphoribosyl-AMP cyclohydrolase (hisI) genes, complete cds		Others	Salmonella enterica subsp. salamae serovar Greenside	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
BGC0000789	BGC0000789	Escherichia coli O24 O antigen gene cluster, complete sequence		Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000790	BGC0000790	Escherichia coli strain H515b O-antigen biosynthesis gene cluster, complete sequence		Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000791	BGC0000791	Enterobacter sakazakii strain NCTC 11467 O-antigen gene cluster, complete sequence		Others	Cronobacter sakazakii	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
BGC0000792	BGC0000792	Enterococcus faecalis strain OG1RF polysaccharide biosynthetic gene cluster, partial sequence		Others	Enterococcus faecalis OG1RF	Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
BGC0000793	BGC0000793	Salmonella enterica subsp. arizonae core oligosaccharide biosynthetic gene cluster, complete sequence		Others	Salmonella enterica subsp. arizonae	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
BGC0000794	BGC0000794	Geobacillus stearothermophilus strain NRS 2004/3a surface layer glycoprotein SgsE precursor (sgsE) gene, complete cds; and S-layer glycan biosynthesis (slg) gene cluster, partial sequence		Others	Geobacillus stearothermophilus	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
BGC0000795	BGC0000795	Aneurinibacillus thermoaerophilus strain L420-91T S-layer glycan biosynthesis gene cluster, complete sequence		Others	Aneurinibacillus thermoaerophilus	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus group,Aneurinibacillus
BGC0000796	BGC0000796	Paenibacillus alvei strain CCM 2051 S-layer glycan biosynthesis gene cluster, partial sequence	lanthipeptide-class-i	RiPPs	Paenibacillus alvei	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
BGC0000797	BGC0000797	Sphingomonas S88 sphingan polysaccharide synthesis (spsG), (spsS), (spsR), glycosyl transferase (spsQ), (spsI), glycosyl transferase (spsK), glycosyl transferase (spsL), (spsJ), (spsF), (spsD), (spsC), (spsE), Urf 32, Urf 26, ATP-binding cassette transporter (atrD), ATP-binding cassette transporter (atrB), glucosyl-isoprenylphosphate transferase (spsB), glucose-1-phosphate thymidylyltransferase (rhsA), dTDP-6-deoxy-D-glucose -3,5-epimerase (rhsC) dTDP-D-glucose-4,6-dehydratase (rhsB), dTDP-6-deoxy-L-mannose-dehydrogenase (rhsD), Urf 31, and Urf 34 genes, complete cds		Others	Sphingomonas sp. S88	Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
BGC0000798	BGC0000798	Sorghum bicolor chromosome 1, whole genome shotgun sequence		Others	Sorghum bicolor	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliophyta,Liliopsida,Poales,Poaceae,PACMAD clade,Panicoideae,Andropogonodae,Andropogoneae,Sorghinae,Sorghum
BGC0000799	BGC0000799	Escherichia coli K-12 wca gene cluster		Others	Escherichia coli	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000800	BGC0000800	Xanthomonas campestris GumA (gumA), GumB (gumB), GumC (gumC), GumD (gumD), GumE (gumE), GumF (gumF), GumG (gumG), GumH (gumH), GumI (gumI), GumJ (gumJ), GumK (gumK), GumL (gumL), and GumM (gumM) genes, complete cds		Others	Xanthomonas campestris	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
BGC0000801	BGC0000801	R.meliloti exp gene cluster		Others	Sinorhizobium meliloti	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium/Ensifer group,Sinorhizobium
BGC0000802	BGC0000802	Rhizobium meliloti 10.6kB DNA fragment from exoB to exsG gene		Others	Sinorhizobium meliloti	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium/Ensifer group,Sinorhizobium
BGC0000803	BGC0000803	Lactobacillus rhamnosus strain GG exopolysaccharide gene cluster, complete sequence		Others	Lacticaseibacillus rhamnosus GG	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus
BGC0000804	BGC0000804	Streptomyces coelicoflavus ZG0656 contig2060, whole genome shotgun sequence		Others	Streptomyces coelicoflavus ZG0656	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000806	BGC0000806	Glycomyces sp. NRRL B-16210 phosphonate biosynthetic gene cluster, partial sequence	other	Others	Glycomyces sp. NRRL B-16210	Bacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,unclassified Glycomyces
BGC0000807	BGC0000807	Stackebrandtia nassauensis DSM 44728, complete genome	other	Others	Stackebrandtia nassauensis DSM 44728	Bacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Stackebrandtia
BGC0000809	BGC0000809	Actinomadura melliaura strain SCC 1655 NADH oxidase and hypothetical proteins genes, complete cds; AT2433 biosynthetic gene cluster, complete sequence; and unknown genes	LAP.indole.thiopeptide	Others	Actinomadura melliaura	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000810	BGC0000810	Zea mays cultivar B73 chromosome 4		Others	Zea mays	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliophyta,Liliopsida,Poales,Poaceae,PACMAD clade,Panicoideae,Andropogonodae,Andropogoneae,Tripsacinae,Zea
BGC0000811	BGC0000811	Aspergillus fumigatus Af293 chromosome 2 afu1_92, whole genome shotgun sequence	indole	Others	Aspergillus fumigatus Af293	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Fumigati
BGC0000812	BGC0000812	Shiraia sp. slf14 huperzine A biosynthesis gene cluster, complete sequence		Others	Shiraia sp. slf14	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Shiraiaceae,Shiraia,unclassified Shiraia
BGC0000813	BGC0000813	Nonomuraea longicatena K-252a biosynthesis gene cluster, complete sequence	indole	Others	Nonomuraea longicatena	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
BGC0000814	BGC0000814	Nonomuraea longicatena strain NRRL15532 putative transcriptional regulator gene, partial cds; putative amidase, integral membrane protein, putative threonine synthase, ATP-dependent RNA helicase, and putative ArsR family transcriptional regulator genes, complete cds; K-252a biosynthetic gene cluster, complete sequence; and putative peptide transport system secreted peptide binding protein, putative peptide transport system permease, putative peptide transport permease, putative ABC transporter ATP-binding protein, and putative peptide transport ATP-binding protein genes, complete cds	indole	Others	Nonomuraea longicatena	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
BGC0000815	BGC0000815	Neotyphodium uncinatum isolate e167 LOL-1 loline alkaloid production gene cluster, complete sequence		Others	Epichloe uncinata	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Epichloe
BGC0000816	BGC0000816	Malbranchea aurantiaca strain RRC1813 malbrancheamide biosynthetic gene cluster, partial sequence	NRPS.indole	Others	Malbranchea aurantiaca	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Onygenaceae,Malbranchea
BGC0000817	BGC0000817	Uncultured bacterium clone NM343 methylarcyriarubin tryptophan dimer gene cluster, partial sequence	indole	Others	uncultured bacterium	Bacteria,environmental samples
BGC0000818	BGC0000818	UNVERIFIED: Aspergillus versicolor strain NRRL35600 +notoamide biosynthetic gene cluster, partial sequence	NRPS.indole	Others	Aspergillus versicolor	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0000819	BGC0000819	Penicillium fellutanum strain ATCC 20841 paraherquamide biosynthetic gene cluster, partial sequence	NRPS.indole	Others	Penicillium fellutanum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000820	BGC0000820	Streptomyces griseofuscus strain NRRL 5324 physostigmine biosynthetic gene cluster, complete sequence		Others	Streptomyces griseofuscus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000821	BGC0000821	Lechevalieria aerocolonigenes rebeccamycin biosynthetic gene cluster, complete cds	indole	Others	Lentzea aerocolonigenes	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Lentzea
BGC0000825	BGC0000825	Streptomyces sp. TP-A0274 staurosporine biosynthetic gene cluster (staR, staB, staA, staN, staG, staO, staD, staP, staMA, staJ, staK, staI, staE, staMB), complete cds	indole	Others	Streptomyces sp. TP-A0274	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000826	BGC0000826	Streptomyces clavuligerus ATCC 27064 plasmid pSCL4, whole genome shotgun sequence	indole	Others	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000827	BGC0000827	Salinispora arenicola CNS-205, complete genome	indole	Others	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000829	BGC0000829	Chromobacterium violaceum violacein biosynthetic gene cluster, complete sequence	indole	Others	Chromobacterium violaceum	Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
BGC0000830	BGC0000830	Uncultured bacterium violacein gene cluster, complete sequence	indole	Others	uncultured bacterium	Bacteria,environmental samples
BGC0000831	BGC0000831	Duganella sp. B2 violacein biosynthetic gene cluster, complete sequence	indole	Others	Duganella sp. B2	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia group,Duganella,unclassified Duganella
BGC0000832	BGC0000832	Streptomyces roseochromogenes subsp. oscitans clorobiocin biosynthetic gene cluster, complete sequence	aminocoumarin.PKS-like	Others	Streptomyces roseochromogenus subsp. oscitans DS 12.976	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000833	BGC0000833	Streptomyces rishiriensis strain DSM 40489 hypothetical protein gene, partial cds; putative FK506-binding protein gene, complete cds; coumermycin A1 biosynthetic gene cluster, complete sequence; and DNA gyrase subunit B (gyrB-Rc) and DNA gyrase subunit B (parYR) genes, complete cds	aminocoumarin.PKS-like	Others	Streptomyces rishiriensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000834	BGC0000834	Streptomyces niveus strain NCIMB 9219 novobiocin biosynthetic gene cluster, complete sequence; and GyrB_R (gyrB_R) gene, complete cds	aminocoumarin	Others	Streptomyces niveus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000836	BGC0000836	Escherichia coli CFT073, complete genome	arylpolyene	Others	Escherichia coli CFT073	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
BGC0000837	BGC0000837	Vibrio fischeri ES114 chromosome I, complete sequence	arylpolyene	Others	Aliivibrio fischeri ES114	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
BGC0000838	BGC0000838	Flavobacterium johnsoniae UW101, complete genome	arylpolyene.resorcinol	Others	Flavobacterium johnsoniae UW101	Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
BGC0000839	BGC0000839	Chitinophaga pinensis DSM 2588, complete genome	arylpolyene	Others	Chitinophaga pinensis DSM 2588	Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
BGC0000840	BGC0000840	Xanthomonas oryzae pv. oryzae xanthomonadin biosynthetic gene cluster, partial seqence		Others	Xanthomonas oryzae pv. oryzae	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
BGC0000841	BGC0000841	Streptomyces clavuligerus ATCC 27064 plasmid pSCL4, whole genome shotgun sequence	blactam	Others	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000842	BGC0000842	Streptomyces argenteolus strain ATCC 11009 hypothetical protein and arabinofuranosidase genes, complete cds; and MM4550 gene cluster, complete sequence	blactam	Others	Streptomyces argenteolus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000843	BGC0000843	Streptomyces clavuligerus ATCC 27064 chromosome, whole genome shotgun sequence	blactam	Others	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000844	BGC0000844	Streptomyces clavuligerus clavulanic acid biosynthetic gene cluster, partial sequence		Others	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000845	BGC0000845	Streptomyces clavuligerus ATCC 27064 supercont1.1 genomic scaffold, whole genome shotgun sequence	blactam	Others	Streptomyces clavuligerus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000846	BGC0000846	Pseudomonas syringae tabtoxin biosynthetic gene cluster, complete sequence	blactam	Others	Pseudomonas syringae	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000847	BGC0000847	Streptomyces cattleya thienamycin gene cluster	blactam	Others	Streptomyces cattleya	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000848	BGC0000848	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome	butyrolactone	Others	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000849	BGC0000849	Streptomyces coelicolor A3(2) complete genome	butyrolactone	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000850	BGC0000850	Streptomyces acidiscabies 84.104 GBL gene cluster, complete sequence	butyrolactone	Others	Streptomyces acidiscabies	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000851	BGC0000851	Streptomyces noursei putative tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase gene, partial cds; albonoursin biosynthetic gene cluster, complete sequence; and putative NADP-specific glutamate dehydrogenase gene, partial cds	CDPS	Others	Streptomyces noursei ATCC 11455	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000852	BGC0000852	Bacillus pasteurii osmotically regulated ectoine biosynthesis gene cluster, complete sequence	ectoine	Others	Sporosarcina pasteurii	Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina
BGC0000853	BGC0000853	Streptomyces chrysomallus ectoine biosynthesis gene cluster, complete sequence	ectoine	Others	Streptomyces anulatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000854	BGC0000854	Methylobacter alcaliphilus ectoine biosynthesis gene cluster, complete sequence; and putative ectoine hydroxylase (phy) gene, complete cds	ectoine	Others	Methylotuvimicrobium alcaliphilum 20Z	Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylotuvimicrobium
BGC0000855	BGC0000855	Methylomicrobium kenyense strain AMO1 ectoine biosynthesis gene cluster, complete sequence	ectoine	Others	Methylotuvimicrobium kenyense	Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylotuvimicrobium
BGC0000856	BGC0000856	Methylophaga thalassica strain MT ectoine biosynthesis gene cluster, complete sequence; and aspartokinase (ask) gene, partial cds	ectoine	Others	Methylophaga thalassica	Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
